date,open,high,low,close,volume,amount
2008-07-21,11495.0195,11663.4004,11339.0195,11467.3398,212850000,2445900000000
2008-07-22,11457.9004,11692.79,11273.3203,11602.5,273690000,3149250000000
2008-07-23,11603.3896,11820.21,11410.0195,11632.3799,264520000,3072800000000
2008-07-24,11630.3398,11714.21,11288.79,11349.2803,241140000,2772060000000
2008-07-25,11341.1396,11540.7803,11252.4697,11370.6904,190920000,2171960000000
2008-07-28,11369.4697,11439.25,11094.7598,11131.0801,197550000,2224140000000
2008-07-29,11133.4404,11444.0498,11086.1299,11397.5596,206930000,2331130000000
2008-07-30,11397.5596,11681.4697,11328.6797,11583.6904,208520000,2397530000000
2008-07-31,11577.9902,11631.1602,11317.6904,11378.0195,220200000,2527060000000
2008-08-01,11379.8896,11512.6104,11205.4102,11326.3203,189700000,2154240000000
2008-08-04,11326.3203,11449.6699,11144.5898,11284.1504,170250000,1924030000000
2008-08-05,11286.0195,11652.2402,11286.0195,11615.7695,234990000,2692990000000
2008-08-06,11603.6396,11745.71,11454.6396,11656.0703,180060000,2091400000000
2008-08-07,11655.4199,11680.5,11355.6299,11431.4297,229610000,2647570000000
2008-08-08,11432.0898,11808.4902,11344.2305,11734.3203,212830000,2464530000000
2008-08-11,11729.6699,11933.5498,11580.1904,11782.3496,183190000,2153660000000
2008-08-12,11781.7002,11830.3896,11541.4297,11642.4697,173590000,2030830000000
2008-08-13,11632.8096,11689.0498,11377.3701,11532.96,182550000,2109920000000
2008-08-14,11532.0703,11744.3301,11399.8398,11615.9297,159790000,1849260000000
2008-08-15,11611.21,11776.4102,11540.0498,11659.9004,215040000,2504550000000
2008-08-18,11659.6504,11744.4902,11410.1797,11479.3896,156290000,1808810000000
2008-08-19,11478.0898,11501.4502,11260.5303,11348.5498,171580000,1955520000000
2008-08-20,11345.9404,11511.0596,11240.1797,11417.4297,144880000,1648540000000
2008-08-21,11415.2305,11501.29,11263.6299,11430.21,130020000,1482560000000
2008-08-22,11426.79,11684.0,11426.79,11628.0596,138790000,1601830000000
2008-08-25,11626.1904,11626.1904,11336.8203,11386.25,148610000,1708100000000
2008-08-26,11383.5596,11483.6201,11284.4697,11412.8701,119800000,1364660000000
