代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
110077,洪城转债,203.488,0.63,600461,洪城环境,8.98,-0.11,1.23,4.88,184.02,10.58,AA+,3.416,6.344,5.8,2026-11-20,1.104,6.685,1795.37,1.33,-42.39,214.07
110063,鹰19转债,113.752,-0.92,600567,山鹰国际,1.81,-2.16,0.7,1.76,102.84,10.61,AA,1.232,2.288,9.1,2025-12-13,0.167,9.61,1686.76,1.54,-14.72,124.36
123251,华医转债,167.97,2.47,301235,华康洁净,34.05,2.56,2.12,22.43,151.81,10.64,A+,15.701,29.159,28.3,2030-12-23,5.197,7.012,21525.52,18.36,-6.37,178.61
123245,集智转债,234.189,-2.22,300553,集智股份,38.29,-4.75,5.05,18.11,211.43,10.76,A,12.677,23.543,4.7,2030-08-14,4.838,1.539,12649.64,35.31,-13.01,244.95
127092,运机转债,226.313,-2.08,001288,运机集团,24.7,-2.37,2.57,12.09,204.3,10.77,AA-,8.463,15.717,14.0,2029-09-21,3.943,5.251,5497.35,4.63,-14.98,237.08
111005,富春转债,150.276,-0.71,605189,富春染织,16.23,-0.61,1.69,11.98,135.48,10.92,AA-,8.386,15.574,16.8,2028-06-23,2.696,5.298,8617.65,10.8,-10.61,161.2
113681,镇洋转债,137.164,0.01,603213,镇洋发展,13.85,0.29,3.29,11.2,123.66,10.92,AA-,7.84,14.56,9.5,2029-12-29,4.214,5.797,3802.44,4.8,-3.24,148.08
123198,金埔转债,132.088,-0.54,301098,金埔园林,8.98,-0.44,1.25,7.55,118.94,11.05,A,5.285,9.815,24.2,2029-06-08,3.655,3.259,2414.73,5.62,-2.62,143.14
113062,常银转债,130.322,0.85,601128,常熟银行,6.89,0.44,0.76,5.89,116.98,11.41,AAA,,7.657,26.3,2028-09-15,2.926,59.994,10759.49,1.38,-5.9,141.73
110059,浦发转债,110.561,0.12,600000,浦发银行,12.34,4.22,0.49,12.51,98.64,12.09,AAA,,16.263,6.3,2025-10-28,0.041,242.7,84643.24,3.16,-13.21,122.65
123222,博俊转债,196.233,-5.2,300926,博俊科技,29.18,-6.35,4.15,16.68,174.94,12.17,A+,11.676,21.684,3.0,2029-09-08,3.907,2.44,12854.51,26.64,-12.14,208.4
113046,金田转债,141.208,0.17,601609,金田股份,12.98,2.93,2.54,10.32,125.78,12.27,AA+,7.224,13.416,6.7,2027-03-22,1.438,14.992,13378.89,6.37,-15.13,153.48
113676,荣23转债,135.834,-1.42,603165,荣晟环保,13.44,-2.61,1.65,11.11,120.97,12.29,AA-,7.777,14.443,15.7,2029-08-18,3.849,5.758,3182.66,4.07,-3.41,148.12
127082,亚科转债,140.386,-0.65,002540,亚太科技,6.61,-0.45,1.49,5.29,124.95,12.35,AA,3.703,6.877,20.1,2029-03-09,3.406,11.588,4346.09,2.69,-5.48,152.74
111017,蓝天转债,136.449,-0.28,605368,蓝天燃气,9.67,-1.83,1.98,7.98,121.18,12.6,AA,5.586,10.374,9.7,2029-08-15,3.841,6.715,2568.17,2.82,-4.59,149.05
123177,测绘转债,151.7,-0.62,300826,测绘股份,17.64,-0.9,2.13,13.15,134.14,13.09,A+,9.205,17.095,4.6,2029-03-02,3.386,1.299,1691.19,8.63,-6.93,164.79
113574,华体转债,135.905,-0.05,603679,华体科技,16.2,0.19,3.32,13.49,120.09,13.17,A,9.443,17.537,7.8,2026-03-31,0.463,2.078,4517.34,16.04,-41.41,149.08
123160,泰福转债,148.66,-0.78,300992,泰福泵业,25.97,-2.26,2.75,19.77,131.36,13.17,A,13.839,25.701,11.5,2028-09-28,2.962,2.317,4711.49,13.75,-7.28,161.83
123249,英搏转债,196.756,-2.61,300681,英搏尔,30.27,-5.26,3.58,17.43,173.67,13.29,AA,12.201,22.659,12.4,2030-10-24,5.033,6.929,11691.87,8.6,-10.28,210.05
111012,福新转债,384.157,-4.07,605488,福莱新材,32.34,-6.29,5.88,9.56,338.28,13.56,A+,6.692,12.428,1.1,2029-01-04,3.23,1.02,18118.79,46.21,-30.63,397.72
113632,鹤21转债,136.65,-0.98,603733,仙鹤股份,22.85,-1.76,1.97,18.99,120.33,13.56,AA,13.293,24.687,12.5,2027-11-17,2.096,20.167,5925.11,2.16,-7.94,150.21
128141,旺能转债,133.394,-0.92,002034,旺能环境,16.65,-2.12,1.03,14.18,117.42,13.6,AA,9.926,18.434,16.1,2026-12-17,1.178,11.576,3679.96,2.39,-14.12,146.99
127079,华亚转债,188.036,-0.21,003043,华亚智能,50.73,-0.43,3.82,30.71,165.19,13.83,A+,21.497,39.923,7.7,2028-12-16,3.178,3.106,7476.01,12.89,-13.4,201.87
127028,英特转债,137.937,-0.76,000411,英特集团,11.26,-2.0,1.26,9.3,121.08,13.92,AA+,6.51,12.09,11.2,2027-01-05,1.23,4.062,1973.92,3.53,-17.15,151.86
110081,闻泰转债,109.463,-15.09,600745,闻泰科技,41.83,-10.0,1.5,43.6,95.94,14.1,AA-,30.52,56.68,16.5,2027-07-28,1.789,85.973,150369.79,16.11,0.17,123.56
118030,睿创转债,241.147,-3.52,688002,睿创微纳,82.69,-2.96,6.58,39.13,211.32,14.11,AA,27.391,50.869,3.9,2028-12-30,3.216,14.694,23025.18,6.39,-21.05,255.26
113039,嘉泽转债,204.42,-8.32,601619,嘉泽新能,5.32,-8.28,2.29,2.97,179.12,14.12,AA,2.079,3.861,2.2,2026-08-24,0.863,2.87,59931.91,99.87,-54.66,218.54
127076,中宠转2,233.877,2.24,002891,中宠股份,56.22,2.22,5.95,27.46,204.73,14.24,AA-,19.222,35.698,2.8,2028-10-25,3.036,4.838,18925.54,16.8,-20.95,248.12
123242,赛龙转债,151.5,-0.62,301131,聚赛龙,47.98,-0.62,2.62,36.2,132.54,14.31,A+,25.34,47.06,16.9,2030-07-08,4.737,2.495,3018.64,8.06,-4.8,165.81
113069,博23转债,194.68,-3.6,601137,博威合金,24.91,-4.81,2.38,14.68,169.69,14.73,AA,10.276,19.084,6.9,2028-12-22,3.195,14.125,14027.62,5.08,-16.11,209.41
110094,众和转债,143.23,-0.83,600888,新疆众和,8.3,-2.24,1.04,6.65,124.81,14.76,AA,4.655,8.645,8.5,2029-07-18,3.764,9.944,7597.15,5.38,-5.96,157.99
