代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
113046,金田转债,105.331,0.17,601609,金田股份,6.52,-0.31,1.2,10.55,61.8,70.44,AA+,7.39,13.72,15.6,2027-03-22,3.258,14.998,1697.45,1.08,2.54,175.77
128101,联创转债,124.02,-0.35,002036,联创电子,9.95,0.61,3.06,13.69,72.68,70.64,AA,9.58,17.8,2.8,2026-03-16,2.241,2.988,736.88,1.98,-4.03,194.66
111003,聚合转债,116.742,-0.04,605166,聚合顺,9.71,0.52,1.84,14.21,68.33,70.84,AA-,9.95,18.47,6.6,2028-03-07,4.219,2.037,169.06,0.71,0.79,187.58
127038,国微转债,113.35,-0.22,002049,紫光国微,64.66,0.76,4.93,98.18,65.86,72.11,AA+,68.73,127.63,2.7,2027-06-10,3.477,14.925,2518.99,1.5,0.14,185.46
123216,科顺转债,106.166,-0.48,300737,科顺股份,6.24,-0.16,1.32,10.26,60.82,74.56,AA,7.18,13.34,39.2,2029-08-03,5.627,21.98,942.68,0.4,2.26,180.73
127062,垒知转债,109.0,-0.44,002398,垒知集团,4.79,-0.83,0.92,7.68,62.37,74.76,AA-,5.38,9.98,14.2,2028-04-21,4.343,3.96,671.21,1.56,2.31,183.76
127024,盈峰转债,105.478,-0.31,000967,盈峰环境,4.81,-0.41,0.87,7.98,60.28,74.99,AA+,5.59,10.37,9.7,2026-11-04,2.88,14.761,292.77,0.19,2.56,180.47
127047,帝欧转债,85.989,-0.17,002798,帝欧家居,6.53,-0.31,0.91,13.34,48.95,75.67,A+,9.34,17.34,78.4,2027-10-25,3.852,14.998,863.89,0.67,9.13,161.66
123049,维尔转债,103.59,0.43,300190,维尔利,4.26,-0.23,0.88,7.23,58.92,75.81,A+,5.06,9.4,27.7,2026-04-13,2.318,9.17,527.15,0.56,7.61,179.4
128142,新乳转债,108.28,-0.2,002946,新乳业,11.28,0.27,3.77,18.33,61.54,75.95,AA,12.83,23.83,7.5,2026-12-18,3.0,7.18,1293.44,1.66,1.55,184.23
